team,player_raw,player_resolved,role,slot,stat_source,season,has_team_bench,minutes,games,primary_position,fpl_position,positions,rating,goals90,assists90,xg90,xa90,shots90,shots_on_target90,key_passes90,pass_pct,dribbles90,tackles90,interceptions90,understat_xg90,understat_shots90,gap_flags,has_gaps
Kinjal+Sayan C,Olise,Michael Olise,XI,RW,blend_cache,,True,2331.5,33,CM,MID,CM,7.59283656010806,0.467022847496809,0.49562619663322327,0.38870343735713003,0.4291378562743329,3.2476432815367655,1.4570217379823025,2.679557069899058,81.82065511031067,2.0901333767695642,1.0496010661941741,0.35912829659086176,0.3928517651392105,3.25495067687926,,False
Kinjal+Sayan C,Kane,Harry Kane,XI,ST,blend_cache,,True,2385.5,31,ST,FWD,ST,7.523591050066461,0.9247278825355782,0.20818289387227246,0.7297968216435011,0.1570865279869297,3.806041261546298,1.8980564270512597,1.3219132729156104,78.83723452961158,0.9675378951987982,0.6617631794620886,0.2068814393507758,0.8218455408604873,3.797113835920672,,False
Kinjal+Sayan C,Kounde,Jules Koundé,XI,RB,blend_cache,,True,2437.5,31,LB,DEF,LB,6.981181818181818,0.05600655048185394,0.10801351176789489,0.06296172288939125,0.12317123843656169,0.6209197260022169,0.187900896687759,0.9770917062232254,87.75072727272726,0.79742996226782,1.9850929141597282,0.9431449551170288,0.0822943933917624,0.622847373325135,,False
Kinjal+Sayan C,Willian Pacho,Willian Pacho,XI,CB1,blend_cache,,True,2022.5,25,CB,DEF,CB,6.953717948717948,0.009925558312655087,0.02406248907839094,0.033340632047907284,0.02612193870624942,0.3477665410231073,0.07948882808933368,0.18965718413216168,91.99556658395369,0.12671095323058648,1.9499954633023746,1.2902503098200995,0.0260563929718154,0.37648933872006396,,False
Kinjal+Sayan C,Casemiro,Casemiro,XI,DM,prime,2017-2018,True,2595.0,30,CM,MID,CM,6.89,0.17,0.1,0.1257918462986837,0.10109512783635526,1.11,0.42,0.7934074357991567,85.0,0.85,2.7745664739884393,2.2196531791907512,0.1257918462986837,1.1038712150249137,pass_pct_role_default|dribbles_role_default|aerials_estimated_mid,True
Kinjal+Sayan C,Pape Matar Sarr,Pape Matar Sarr,bench,,blend_cache,,True,1913.0,36,CM,MID,CM,6.854030209406111,0.12701682114658427,0.09612083762444215,0.14926192928252663,0.06216958462066598,1.4624098867147273,0.5217988328184002,0.8719533127360111,86.01430484037076,0.5801579128046688,2.1146584277377274,1.201510470305527,0.14094609606009337,1.3101433784654766,,False
Kinjal+Sayan C,Joao Neves,João Neves,XI,CM2,blend_cache,,True,1572.0,25,CM,MID,CM,7.151695178849145,0.22126993521431448,0.2098423915582479,0.17395852350615587,0.17249400265452342,1.6915550274050035,0.5586759735514688,1.4100321047888613,87.22741057542768,0.8745021275139335,1.9377756662219388,0.6652061950265293,0.19442933467410115,1.6907293448678073,,False
Kinjal+Sayan C,Diego Godin,Diego Godín,XI,CB2,peak_season,2015-2016,True,2648.0,31,CB,DEF,CB,6.67,0.03,0.03,0.08543346929451767,0.04426335163836209,0.88,0.2,0.23773584905660378,84.0,0.35,0.0,0.0,0.08543346929451767,0.8490566037735849,,False
Kinjal+Sayan C,Bruno G,Bruno Guimarães,XI,CM1,blend_cache,,True,2868.5,33,CM,MID,CM,7.235478221532894,0.2196890426266992,0.17548915114832736,0.16646219401818768,0.1690155421948864,1.4936553684731388,0.6331351855404473,1.5776572371550006,83.64077420188704,0.9005207840163645,1.970880460230977,0.6150379139142627,0.18300871846841343,1.4855059092347773,,False
Kinjal+Sayan C,Nico O'Reilly,Nico O'Reilly,XI,LB,blend_cache,,True,2648.0,34,RB,DEF,RB|CM,6.864517543859649,0.13980263157894737,0.10142543859649122,0.1652138157894737,0.09377741228070174,1.2033991228070176,0.42489035087719296,0.8141447368421053,85.04142543859649,0.8114035087719298,2.1984649122807016,0.7538377192982456,0.16759409865544242,1.194822902811982,,False
Kinjal+Sayan C,Rafael Leao,Rafael Leão,XI,LW,blend_cache,,True,2094.5,31,ST,FWD,ST,7.001526902569074,0.3619064609728938,0.19250789155940956,0.3665203826060136,0.16534555473902812,2.670529640247637,1.0890015439029999,1.4904877742792764,78.30474066892876,1.4557660593861468,0.565982013527609,0.2411418736373804,0.3793342932638102,2.675715828359291,,False
Kinjal+Sayan C,Marco Carnesecchi,Marco Carnesecchi,XI,GK,blend_cache,,True,3195.0,35,GK,GK,GK,7.186102502979738,0.0,0.0,0.0,0.0013182947372809254,0.0,0.0,0.01835167916988011,68.25361144219309,0.010292175369648552,0.015059755822568695,0.0,0.0,0.0,aerials_estimated,True
Kinjal+Sayan C,Jeremy Jacquet,Jérémy Jacquet,bench,,blend_cache,,True,1673.0,19,CB,DEF,CB,6.937624392068837,0.01122334455667789,0.01122334455667789,0.04998129442573888,0.031126075570520016,0.5574261129816684,0.15712682379349047,0.43396932285821177,88.7726861204639,0.22820800598578375,1.5076692854470632,1.032547699214366,0.04265879809917011,0.6131895160573034,,False
Kinjal+Sayan C,Eli Junior Kroupi,Eli Junior Kroupi,bench,,blend_cache,,True,1690.0,33,ST,FWD,ST|CM,6.843457249070632,0.5613382899628253,0.04460966542750929,0.40576208178438666,0.08464684014869889,2.6319702602230484,1.100371747211896,1.1449814126394053,75.26907063197027,0.7992565055762082,0.5985130111524164,0.3940520446096655,0.41934117294116646,2.6136353743154888,,False
